,model_name,fold,data_type,criterion,num_trees,run,with_title,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,Random Forest,3,MultiLabel,gini,200,0,False,0.7324561403508771,0.16,0.1545253863134658,0.40770748806247176,0.34899384222144764,0.4720720720720721,0.6290018832391714,0.08791208791208792,0.08454106280193237,0.3226600985221675,0.26715167798439726,0.3226600985221675,0.8766404199475065,0.8888888888888888,0.8974358974358975,0.8864541799649048,0.8876550687574309,0.8791946308724832,0.8816006600660066
0,Random Forest,4,MultiLabel,gini,200,0,False,0.760655737704918,0.22929936305732485,0.14222222222222222,0.4313521533956988,0.3773924409948217,0.49553305539011316,0.655367231638418,0.13186813186813187,0.07729468599033816,0.3415435139573071,0.28817668316562933,0.3415435139573071,0.90625,0.8780487804878049,0.8888888888888888,0.8940279696824062,0.8910625564588979,0.9023861171366594,0.8862761276127613
0,Random Forest,0,MultiLabel,entropy,200,0,False,0.6864608076009501,0.07692307692307693,0.08755760368663594,0.346263466531698,0.28364716273688767,0.4084507042253521,0.544256120527307,0.040145985401459854,0.04600484261501211,0.2619047619047619,0.210135649514593,0.2619047619047619,0.9292604501607717,0.9166666666666666,0.9047619047619048,0.9181203878232375,0.9168963405297811,0.9273255813953488,0.8748624862486248
0,Random Forest,1,MultiLabel,entropy,200,0,False,0.7072330654420207,0.12837837837837837,0.091324200913242,0.3676661900969038,0.308978548244547,0.432398753894081,0.5811320754716981,0.06934306569343066,0.04830917874396135,0.2848932676518883,0.23292810663636335,0.2848932676518883,0.9032258064516129,0.8636363636363636,0.8333333333333334,0.870563252098291,0.8667318344737699,0.896640826873385,0.8761001100110011
0,Random Forest,2,MultiLabel,entropy,200,0,False,0.6731234866828087,0.09523809523809523,0.0963302752293578,0.34707013134817805,0.28823061905008723,0.4023136246786632,0.5245283018867924,0.051094890510948905,0.050724637681159424,0.2569786535303777,0.20878261002630027,0.2569786535303777,0.9391891891891891,0.7,0.9545454545454546,0.8906010578424371,0.8645782145782146,0.9260355029585798,0.8738998899889989
0,Random Forest,3,MultiLabel,entropy,200,0,False,0.6929316338354577,0.07719298245614035,0.08275862068965517,0.3475225375555596,0.28429441232708447,0.4144030322173089,0.5630885122410546,0.040293040293040296,0.043478260869565216,0.26929392446633826,0.21561993780122002,0.26929392446633826,0.9006024096385542,0.9166666666666666,0.8571428571428571,0.8894310528532144,0.8914706444826926,0.8986301369863013,0.8745874587458746
0,Random Forest,4,MultiLabel,entropy,200,0,False,0.7192575406032483,0.10380622837370242,0.0958904109589041,0.36942814822933656,0.30631805997861833,0.4354940213971051,0.583804143126177,0.054945054945054944,0.050724637681159424,0.28407224958949095,0.2298246119174638,0.28407224958949095,0.9365558912386707,0.9375,0.875,0.9158445634217849,0.9163519637462235,0.9326145552560647,0.8785753575357536
0,Random Forest,0,MultiLabel,log_loss,300,0,False,0.6888361045130641,0.04964539007092199,0.0963302752293578,0.3441372841096835,0.27827058993778125,0.4076923076923077,0.5461393596986818,0.025547445255474453,0.05084745762711865,0.26108374384236455,0.20751142086042496,0.26108374384236455,0.932475884244373,0.875,0.9130434782608695,0.9129570205710189,0.9068397875017475,0.9298245614035088,0.875
0,Random Forest,1,MultiLabel,log_loss,300,0,False,0.7103448275862069,0.1288135593220339,0.091324200913242,0.36911813879557404,0.3101608626071609,0.43418590143480973,0.5830188679245283,0.06934306569343066,0.04830917874396135,0.2857142857142857,0.2335570374539734,0.2857142857142857,0.9088235294117647,0.9047619047619048,0.8333333333333334,0.8822506013899811,0.8823062558356676,0.9038961038961039,0.8766501650165016
0,Random Forest,2,MultiLabel,log_loss,300,0,False,0.6723507917174177,0.09523809523809523,0.10933940774487472,0.3511557245581672,0.2923094315667959,0.4041184041184041,0.5207547169811321,0.051094890510948905,0.057971014492753624,0.25779967159277506,0.20994020732827823,0.25779967159277506,0.9484536082474226,0.7,0.96,0.8964863812570887,0.8694845360824742,0.9345238095238095,0.8743124312431243
0,Random Forest,3,MultiLabel,log_loss,300,0,False,0.6967592592592593,0.07719298245614035,0.07816091954022988,0.34762846598263397,0.2840377204185432,0.4154040404040404,0.5668549905838042,0.040293040293040296,0.04106280193236715,0.27011494252873564,0.21607027760307052,0.27011494252873564,0.9039039039039038,0.9166666666666666,0.8095238095238095,0.8746845895860673,0.8766981266981265,0.8989071038251366,0.8747249724972497
0,Random Forest,4,MultiLabel,log_loss,300,0,False,0.7213872832369942,0.10380622837370242,0.0871559633027523,0.36738778042052883,0.30411649163781634,0.43522012578616354,0.5875706214689266,0.054945054945054944,0.04589371980676329,0.28407224958949095,0.22946979874024828,0.28407224958949095,0.9341317365269461,0.9375,0.8636363636363636,0.9109252107071124,0.9117560333877699,0.9301075268817204,0.8785753575357536
0,Random Forest,0,MultiLabel,gini,300,0,False,0.7371937639198218,0.2364217252396166,0.15418502202643172,0.42685374011001365,0.3759335037286234,0.4840840840840841,0.623352165725047,0.13503649635036497,0.0847457627118644,0.3308702791461412,0.28104480826242545,0.3308702791461412,0.9019073569482289,0.9487179487179487,0.8536585365853658,0.8960775862873429,0.9014279474171811,0.901565995525727,0.8843509350935094
0,Random Forest,1,MultiLabel,gini,300,0,False,0.75,0.21221864951768488,0.15384615384615385,0.42638769922836894,0.3720216011212796,0.48867699642431467,0.6452830188679245,0.12043795620437957,0.08454106280193237,0.3366174055829228,0.2834206792914122,0.3366174055829228,0.8952879581151832,0.8918918918918919,0.8536585365853658,0.8803740807272307,0.8802794621974802,0.8913043478260869,0.8836633663366337
0,Random Forest,2,MultiLabel,gini,300,0,False,0.7414965986394558,0.19745222929936307,0.16299559471365638,0.42247560288866237,0.3673148075508251,0.47878787878787876,0.6169811320754717,0.11313868613138686,0.0893719806763285,0.3243021346469622,0.27316393296106234,0.3243021346469622,0.9289772727272727,0.775,0.925,0.8929868263919989,0.8763257575757576,0.9143518518518519,0.8838008800880088
0,Random Forest,3,MultiLabel,gini,300,0,False,0.734065934065934,0.16666666666666666,0.16228070175438597,0.4125395907350794,0.3543377674956622,0.47539015606242496,0.6290018832391714,0.09157509157509157,0.0893719806763285,0.3251231527093596,0.2699829851635305,0.3251231527093596,0.8812664907651715,0.9259259259259259,0.8809523809523809,0.8911695977737024,0.8960482658811594,0.8839285714285714,0.8824257425742574
